22-02-16 09:33:22                 >> Regression test module mMsg
22-02-16 09:33:22 00,0000         |  >> mMsgFuncTest.Test_00_Regression
22-02-16 09:33:22 00,0045         |  |  >> mMsgFuncTest.Test_01_ErrMsg
22-02-16 09:33:22 00,0063 00,0018 |  |  << mMsgFuncTest.Test_01_ErrMsg !!! Application Error 5  !!! 
22-02-16 09:33:25 03,1781         |  |  >> mMsgFuncTest.Test_03_WidthDeterminedByMinimumWidth
22-02-16 09:33:28 06,3259 03,1479 |  |  << mMsgFuncTest.Test_03_WidthDeterminedByMinimumWidth
22-02-16 09:33:28 06,3273         |  |  >> mMsgFuncTest.Test_04_WidthDeterminedByTitle
22-02-16 09:33:30 08,5179 02,1906 |  |  << mMsgFuncTest.Test_04_WidthDeterminedByTitle
22-02-16 09:33:30 08,5194         |  |  >> mMsgFuncTest.Test_05_WidthDeterminedByMonoSpacedMessageSection
22-02-16 09:33:32 09,9112 01,3918 |  |  << mMsgFuncTest.Test_05_WidthDeterminedByMonoSpacedMessageSection
22-02-16 09:33:32 09,9126         |  |  >> mMsgFuncTest.Test_06_WidthDeterminedByReplyButtons
22-02-16 09:33:33 11,5224 01,6098 |  |  << mMsgFuncTest.Test_06_WidthDeterminedByReplyButtons
22-02-16 09:33:33 11,5235         |  |  >> mMsgFuncTest.Test_07_MonoSpacedSectionWidthExceedsMaxMsgWidth
22-02-16 09:33:35 13,5899 02,0664 |  |  << mMsgFuncTest.Test_07_MonoSpacedSectionWidthExceedsMaxMsgWidth
22-02-16 09:33:35 13,5910         |  |  >> mMsgFuncTest.Test_08_MonoSpacedMessageSectionExceedsMaxHeight
22-02-16 09:33:37 14,9329 01,3419 |  |  << mMsgFuncTest.Test_08_MonoSpacedMessageSectionExceedsMaxHeight
22-02-16 09:33:37 14,9342         |  |  >> mMsgFuncTest.Test_09_ButtonsOnly
22-02-16 09:33:40 18,2946 03,3604 |  |  << mMsgFuncTest.Test_09_ButtonsOnly
22-02-16 09:33:40 18,2959         |  |  >> mMsgFuncTest.Test_10_ButtonsMatrix
22-02-16 09:33:42 20,2082 01,9123 |  |  << mMsgFuncTest.Test_10_ButtonsMatrix
22-02-16 09:33:42 20,2092         |  |  >> mMsgFuncTest.Test_11_ButtonScrollBarVertical
22-02-16 09:33:46 23,8379 03,6286 |  |  << mMsgFuncTest.Test_11_ButtonScrollBarVertical
22-02-16 09:33:46 23,8395         |  |  >> mMsgFuncTest.Test_12_ButtonScrollBarHorizontal
22-02-16 09:33:49 27,2760 03,4365 |  |  << mMsgFuncTest.Test_12_ButtonScrollBarHorizontal
22-02-16 09:33:49 27,2797         |  |  >> mMsgFuncTest.Test_13_ButtonsMatrix_Horizontal_and_Vertical_Scrollbar
22-02-16 09:33:53 31,4938 04,2141 |  |  << mMsgFuncTest.Test_13_ButtonsMatrix_Horizontal_and_Vertical_Scrollbar
22-02-16 09:33:53 31,4948         |  |  >> mMsgFuncTest.Test_17_Box_MessageAsString
22-02-16 09:33:55 33,3126 01,8177 |  |  << mMsgFuncTest.Test_17_Box_MessageAsString
22-02-16 09:33:55 33,3136         |  |  >> mMsgFuncTest.Test_30_Monitor
22-02-16 09:34:00 38,4499 05,1363 |  |  << mMsgFuncTest.Test_30_Monitor
22-02-16 09:34:00 38,4512         |  |  >> mMsgFuncTest.Test_90_All_in_one_Demonstration
22-02-16 09:34:03 41,2229 02,7717 |  |  << mMsgFuncTest.Test_90_All_in_one_Demonstration
22-02-16 09:34:03 41,2237 41,2237 |  << mMsgFuncTest.Test_00_Regression
22-02-16 09:34:03 41,2237 41,2237 << Regression test module mMsg. Impact on performance (caused by the trace) was 00,0007 seconds!
